class,baseline,horizon,context_len,mae_median,mae_iqr
lorenz,context_mean,336,128,8.389664108742146,1.9091344238037857
lorenz,ar5_ridge,336,128,11.085635248707911,4.467629437570224
lorenz,persistence,336,64,8.47616816813499,3.6387151655009236
lorenz,tail_linear,336,64,81.31353254597494,88.15529009403862
lorenz,full_context_linear,336,64,49.241725646512194,20.984769556882547
lorenz,context_mean,336,64,8.338739349881251,2.396738768424451
lorenz,ar5_ridge,336,64,41.128096303259035,33264.91630676033
lorenz,persistence,336,32,8.47616816813499,3.6387151655009236
lorenz,tail_linear,336,32,81.31353254597494,88.15529009403862
lorenz,full_context_linear,336,32,61.134808978869586,50.30736605980975
lorenz,context_mean,336,32,8.71828865048041,3.1827825703186585
lorenz,ar5_ridge,336,32,63387.063992192256,2.114392079886077e+22
